"","age_grp","male_age_grp","male_age_grp_pct","female_age_grp","female_age_grp_pct","total_grp","total_pct"
"1","15 to 19",2,0.00147058823529412,2,0.00123609394313968,4,0.00134003350083752
"2","20 to 29",200,0.147058823529412,275,0.169962917181706,478,0.160134003350084
"3","30 to 44",464,0.341176470588235,537,0.331891223733004,1002,0.335678391959799
"4","45 to 64",536,0.394117647058824,658,0.406674907292954,1197,0.401005025125628
"5","65 and over",158,0.116176470588235,146,0.0902348578491965,304,0.101842546063652
